Year,Afghanistan,United Arab Emirates,Armenia,Azerbaijan,Bangladesh,Bahrain,Brunei Darussalam,Bhutan,China,Georgia,"Hong Kong SAR, China",Indonesia,India,"Iran, Islamic Rep.",Iraq,Israel,Jordan,Japan,Kazakhstan,Kyrgyz Republic,Cambodia,"Korea, Rep.",Kuwait,Lao PDR,Lebanon,Sri Lanka,"Macao SAR, China",Maldives,Myanmar,Mongolia,Malaysia,Nepal,Oman,Pakistan,Philippines,"Korea, Dem. Rep.",Qatar,Saudi Arabia,Singapore,Syrian Arab Republic,Thailand,Tajikistan,Turkmenistan,Turkey,Uzbekistan,Vietnam,"Yemen, Rep."
2001,335.61,108.472,193.696,214.082,173.621,95.769,121.111,280.963,137.1804,192.9188,91.7284,215.356,247.592,174.654,166.756,98.348,147.3272,96.534,406.6712,297.7576,283.414,148.8228,104.017,292.015,113.3804,231.5394,105.456,136.743,267.377,331.625,168.791,248.723,153.547,200.889,277.871,221.339,94.904,119.111,95.9754,127.972,255.189,265.824,312.509,185.3696,249.1682,199.8422,274.868
2002,331.443,105.377,187.207,207.244,171.541,92.812,118.704,272.996,130.96,188.625,89.05,216.941,245.075,172.231,169.02,98.073,145.337,94.862,403.05,297.752,274.619,140.696,103.022,285.594,108.215,218.29,103.239,130.96,263.382,334.06,166.592,241.052,148.994,199.461,277.691,211.23,94.09,114.72,93.895,125.932,252.671,265.226,312.33,179.089,249.119,199.216,272.982
2003,326.827,102.666,183.434,204.0948,169.974,90.633,116.513,265.481,128.5424,187.1624,86.5574,217.176,242.6,171.122,183.0622,92.804,143.56,95.879,398.5142,298.7448,266.688,134.096,102.0964,279.159,103.4088,214.4806,101.229,123.075,260.386,333.159,167.128,235.082,145.043,198.213,277.525,209.367,93.209,112.666,91.4266,124.0462,246.583,259.217,311.751,175.9806,248.3672,199.1094,271.376
2004,322.21,99.956,179.66,200.9456,168.407,88.455,114.322,257.967,126.1248,185.6998,84.0648,217.412,240.125,170.013,197.1044,90.851,141.783,92.395,393.9784,299.7376,258.757,127.496,101.1708,272.724,98.6026,210.6712,99.219,115.19,257.39,332.257,167.665,229.113,141.091,196.965,277.36,207.505,92.328,110.612,88.9582,122.1604,240.494,253.207,311.172,172.8722,247.6154,199.0028,269.771
2005,317.594,97.245,175.887,197.7964,166.841,86.276,112.131,250.452,123.7072,184.2372,81.5722,217.647,237.65,168.903,211.1466,89.188,140.006,92.446,389.4426,300.7304,250.826,120.896,100.2452,266.289,93.7964,206.8618,97.209,107.305,254.394,331.356,168.202,223.143,137.14,195.716,277.195,205.642,91.448,108.557,86.4898,120.2746,234.406,247.198,310.594,169.7638,246.8636,198.8962,268.165
2006,312.978,94.534,172.113,194.6472,165.274,84.097,109.94,242.938,121.2896,182.7746,79.0796,217.883,235.175,167.794,225.1888,87.052,138.229,89.37,384.9068,301.7232,242.895,114.296,99.3196,259.854,88.9902,203.0524,95.199,99.42,251.398,330.455,168.738,217.174,133.188,194.468,277.029,203.779,90.567,106.503,84.0214,118.3888,228.318,241.188,310.015,166.6554,246.1118,198.7896,266.559
2007,308.362,91.823,168.34,191.498,163.707,81.919,107.749,235.423,118.872,181.312,76.587,218.119,232.7,166.685,239.231,84.333,136.452,87.057,380.371,302.716,234.964,107.696,98.394,253.419,84.184,199.243,93.189,91.534,248.402,329.554,169.275,211.204,129.237,193.22,276.864,201.917,89.686,104.449,81.553,116.503,222.23,235.179,309.436,163.547,245.36,198.683,264.953
2008,304.469,90.296,169.284,189.0728,162.277,81.023,104.291,231.46,115.7386,179.9042,75.2208,216.474,230.733,154.867,237.4746,83.728,135.2968,85.14,377.5464,300.3588,231.555,104.53,97.8562,248.075,81.301,197.4102,90.493,90.696,245.322,324.51,169.809,206.043,126.659,190.689,276.712,198.112,87.335,102.727,80.0124,122.176,219.991,229.941,307.645,160.1456,244.1248,196.7622,261.852
2009,300.576,88.769,170.227,186.6476,160.847,80.127,100.833,227.497,112.6052,178.4964,73.8546,214.829,228.766,143.049,235.7182,78.556,134.1416,84.198,374.7218,298.0016,228.147,101.364,97.3184,242.732,78.418,195.5774,87.798,89.857,242.241,319.465,170.344,200.882,124.081,188.157,276.56,194.308,84.985,101.004,78.4718,127.849,217.752,224.703,305.855,156.7442,242.8896,194.8414,258.751
