Year,Afghanistan,Armenia,Azerbaijan,Bahrain,Bangladesh,Bhutan,Brunei Darussalam,Cambodia,China,Georgia,"Hong Kong SAR, China",India,Indonesia,"Iran, Islamic Rep.",Iraq,Israel,Japan,Jordan,Kazakhstan,"Korea, Dem. Rep.","Korea, Rep.",Kuwait,Kyrgyz Republic,Lao PDR,Lebanon,"Macao SAR, China",Malaysia,Maldives,Mongolia,Myanmar,Nepal,Oman,Pakistan,Philippines,Qatar,Saudi Arabia,Singapore,Sri Lanka,Syrian Arab Republic,Tajikistan,Thailand,Turkey,Turkmenistan,United Arab Emirates,Uzbekistan,Vietnam,"Yemen, Rep."
2001,49.27733747,64.68819321,64.1007032,68.01637087,59.50011057,56.80872751,67.4780612,56.50057222,68.96619114,65.79182627,72.11595986,61.13393758,64.77455608,62.43284963,53.7346333,61.92207805,67.85918029,57.80077922,66.04900638,68.06005232,71.78154613,70.56570229,60.1222299,53.5722061,64.09098553,71.17519768,62.33494934,56.91382344,62.59308377,63.597535,55.31826203,60.84318608,55.24003303,58.47642913,73.37173304,60.49429803,71.60159841,67.27587708,56.0999266,54.2879458,69.66020625,63.56176168,60.15988973,75.15542137,59.2941043,62.90248403,49.22998312
2002,49.45182172,65.10833214,64.89537774,68.99726345,59.92368731,58.12747213,67.96463424,57.44240806,69.79744464,65.96183507,72.4534429,61.43579141,64.91266258,64.10168405,53.96439106,61.9835855,67.51799249,58.10169601,66.4577765,67.9789357,71.7715013,70.95766117,60.78085188,54.04449743,64.03809765,72.4662185,62.83059998,58.23772088,63.82521323,63.83199145,55.43078755,61.42325918,55.79493179,58.69463446,74.08557539,61.29093208,71.94421221,67.4298279,56.55700028,55.16071289,69.80612604,63.88362634,60.7586412,76.85594833,60.13695737,63.7493535,49.80899897
2003,49.67952717,65.48520956,65.73035104,69.76188131,60.36458006,59.44857366,68.4354769,58.18279779,70.72285051,66.1693757,72.8111263,61.75816751,65.03376374,65.82476619,54.21962553,62.05288436,67.1594013,58.40122573,66.83319546,67.86603945,71.79786958,71.34332033,61.55618431,54.56598607,64.07316132,73.60977385,63.415355,59.54114632,65.13615588,64.03120095,55.54737041,62.06840456,56.41827355,58.92352087,74.53787612,62.13472563,72.22385054,67.50340011,57.07690424,56.11819061,69.90914487,64.22183968,61.30309662,78.4300725,61.02158014,64.53417974,50.38689457
2004,49.93818684,65.93228248,66.62432627,70.38066112,60.81481649,60.69264547,68.87939275,58.84946189,71.62252579,66.5188695,73.21989183,62.09343101,65.15771098,67.50958387,54.44421522,62.10162371,66.77118859,58.67705616,67.24359399,67.80718427,71.96614808,71.52719051,62.42526118,55.16325275,64.24749908,74.57951629,64.01151068,60.8064898,66.34707471,64.214414,55.66791266,62.72276625,57.02396004,59.17393217,74.8747432,62.95279684,72.45785936,67.53967799,57.54236115,57.05353591,70.0058262,64.54146883,61.94662154,79.80651141,61.91903331,65.36212594,51.02377795
2005,50.23145541,66.49639111,67.56801447,70.93680148,61.27367373,61.82998727,69.3226376,59.54567916,72.41857458,67.04980903,73.68544815,62.43700598,65.29343834,69.04103506,54.61314785,62.11874082,66.34971233,58.89102945,67.70409595,67.84264137,72.26283452,71.4672266,63.32213853,55.82773369,64.62807243,75.39479952,64.64149277,62.01011254,67.34520851,64.40134366,55.80417682,63.37036592,57.56198684,59.47793635,75.23968724,63.70051521,72.62946246,67.56044097,57.89848056,57.90502163,70.13104266,64.83020483,62.74839985,80.92818882,62.79643514,66.26215769,51.73232457
2006,50.10665863,66.96043283,68.43920848,72.98152227,61.61762602,62.64874348,69.61537417,60.29877948,72.96611276,67.33648124,74.23811426,62.718417,65.59333568,69.88911408,54.73109754,62.27049776,65.92615802,59.06233714,68.01084427,67.85806798,72.21307211,72.28233713,63.92631271,56.54079742,65.17831592,76.4097572,65.27821197,63.08129788,68.10411947,64.48262842,56.21918123,65.37740623,58.05095403,59.89781889,78.89145408,64.54315449,72.69930441,67.48411914,58.61856986,58.76207234,70.5768746,65.13027394,63.39769668,82.32668859,63.64889583,66.98783134,52.36429856
2007,49.99990726,67.52844684,69.33072125,74.7271491,61.98636157,63.39271957,70.01968173,61.04191948,73.48629923,67.76689311,74.74014206,63.01379778,65.8267997,70.57842266,54.76015336,62.36917264,65.46262411,59.2095147,68.36577312,67.98150875,72.15977857,72.9202144,64.51544549,57.26448801,65.88820848,77.4811266,65.92666233,64.08063008,68.62694656,64.60570656,56.61023513,67.09382169,58.43282614,60.38228096,81.64035099,65.25443918,72.81150528,67.4340117,59.17718256,59.48772373,70.9814281,65.39304649,64.28145201,83.60238598,64.43493685,67.79159255,53.06775392
2008,49.94608677,68.1093865,70.16608836,76.17185154,62.3753541,64.07444711,70.45768489,61.76960684,73.91756981,68.22203905,75.08610231,63.32208818,65.99795042,71.07952353,54.75433581,62.41532052,64.95176483,59.32882254,68.71237976,68.1787848,72.2167885,73.43966821,65.0115883,57.98544986,66.69478115,78.51811841,66.56255895,64.98196408,68.94506755,64.7681131,56.99041484,68.52332012,58.74864701,60.965486,83.5257552,65.84226912,73.03621031,67.39449751,59.65087326,60.104187,71.35100004,65.63378069,65.24710216,84.60065025,65.13476804,68.59580132,53.79246479
2009,49.98488457,68.59207419,70.84733035,77.33765941,62.77635448,64.73602419,70.86054562,62.41869803,74.20797636,68.56642095,75.18349756,63.64772004,66.10869181,71.4104358,54.78131027,62.40523841,64.38708404,59.44375697,68.95476159,68.38335247,72.40557284,73.97418406,65.35855741,58.6829224,67.42108911,79.41389131,67.14242473,65.75924435,69.13422826,64.95983773,57.39635507,69.72723024,59.0616457,61.61123646,84.71898644,66.34999169,73.34441064,67.33613983,60.18189641,60.65323346,71.66794015,65.86794149,66.07102688,85.3545743,65.73483557,69.27858689,54.46786574
2010,50.13540598,68.93729568,71.34203666,78.24999068,63.18608923,65.40459787,71.20990994,62.94059158,74.33907432,68.75391164,75.02637423,63.99241018,66.18067058,71.60863521,54.8622438,62.32697624,63.7679102,59.58400482,69.02092771,68.55635145,72.6710434,74.56937845,65.54211889,59.34070586,67.88238652,80.07616539,67.65493938,66.39945877,69.23374389,65.17598733,57.85596469,70.72768142,59.3961814,62.23595266,85.44728926,66.81111688,73.64653912,67.24439482,60.859448,61.14788828,71.90584139,66.08945522,66.64768608,85.96301582,66.22468021,69.77890967,55.06185748
2011,50.58990078,69.60802349,71.83816179,77.77673134,63.66969026,65.9077687,71.6512744,63.28458404,74.35313977,68.70761398,74.94643474,64.29517381,66.4171842,71.69768187,55.03299918,62.09237884,63.19316181,59.76282958,68.67159932,68.70567718,72.77496839,74.69564066,65.51597664,59.79281312,68.05295122,79.97812256,68.05760099,66.87447212,69.01576398,65.54463619,58.61698399,72.65292275,59.58100865,62.53288674,84.93085838,67.2858979,73.63006982,67.02227389,60.3660855,61.38643332,71.99741901,66.26039647,67.12679021,85.75343325,66.47315658,70.08701998,55.49575943
