Year,Afghanistan,United Arab Emirates,Armenia,Azerbaijan,Bangladesh,Bahrain,Brunei Darussalam,Bhutan,China,Georgia,"Hong Kong SAR, China",Indonesia,India,"Iran, Islamic Rep.",Iraq,Israel,Jordan,Japan,Kazakhstan,Kyrgyz Republic,Cambodia,"Korea, Rep.",Kuwait,Lao PDR,Lebanon,Sri Lanka,"Macao SAR, China",Maldives,Myanmar,Mongolia,Malaysia,Nepal,Oman,Pakistan,Philippines,"Korea, Dem. Rep.",Qatar,Saudi Arabia,Singapore,Syrian Arab Republic,Thailand,Tajikistan,Turkmenistan,Turkey,Uzbekistan,Vietnam,"Yemen, Rep."
2001,290.462,82.717,93.815,119.3904,158.773,76.463,87.117,291.665,100.921,74.7874,45.3098,167.488,190.391,120.757,109.342,53.654,112.2008,46.362,168.8974,149.684,219.946,56.9632,69.155,244.598,81.7324,92.6978,54.701,111.892,208.243,200.613,96.817,210.301,98.97,172.51,163.399,132.04,63.539,93.683,54.1968,95.1332,137.226,146.837,171.65,97.5792,143.36,77.044,227.976
2002,286.773,79.49,89.687,120.648,152.98,74.573,85.11,282.643,98.537,73.093,43.456,167.236,187.631,115.386,111.29,54.033,110.338,45.287,166.623,149.684,213.162,53.944,68.106,238.731,77.053,85.464,52.975,104.329,205.035,193.915,94.348,202.513,95.354,170.682,161.912,129.438,61.694,92.765,52.119,91.731,137.374,146.465,171.462,94.933,143.32,75.821,226.674
2003,282.4,76.507,88.006,114.8894,148.699,72.824,83.316,274.06,96.5916,72.3148,42.6584,165.531,184.592,110.945,113.104,51.974,108.7016,44.895,164.235,147.6996,206.19,50.8276,67.2262,232.928,72.574,84.8784,51.488,96.797,202.32,187.379,93.266,196.385,92.395,169.123,160.506,128.779,59.749,92.506,50.977,88.8438,133.017,144.085,169.665,92.5144,142.782,74.8422,225.598
2004,278.027,73.524,86.324,109.1308,144.418,71.075,81.523,265.477,94.6462,71.5366,41.8608,163.825,181.553,106.504,114.918,48.71,107.0652,45.203,161.847,145.7152,199.218,47.7112,66.3464,227.125,68.095,84.2928,50,89.265,199.604,180.842,92.184,190.256,89.436,167.565,159.101,128.12,57.805,92.247,49.835,85.9566,128.661,141.705,167.868,90.0958,142.244,73.8634,224.521
2005,273.654,70.541,84.642,103.3722,140.137,69.326,79.729,256.893,92.7008,70.7584,41.0632,162.12,178.514,102.064,116.732,49.556,105.4288,44.94,159.459,143.7308,192.245,44.5948,65.4666,221.323,63.616,83.7072,48.513,81.732,196.889,174.306,91.102,184.128,86.478,166.006,157.695,127.461,55.861,91.988,48.693,83.0694,124.305,139.325,166.072,87.6772,141.706,72.8846,223.445
2006,269.281,67.557,82.96,97.6136,135.856,67.578,77.935,248.31,90.7554,69.9802,40.2656,160.414,175.474,97.623,118.546,47.474,103.7924,44.207,157.071,141.7464,185.273,41.4784,64.5868,215.52,59.137,83.1216,47.025,74.2,194.173,167.769,90.02,177.999,83.519,164.448,156.289,126.802,53.917,91.728,47.551,80.1822,119.949,136.944,164.275,85.2586,141.168,71.9058,222.369
2007,264.908,64.574,81.278,91.855,131.575,65.829,76.142,239.727,88.81,69.202,39.468,158.709,172.435,93.182,120.36,47.154,102.156,43.164,154.683,139.762,178.301,38.362,63.707,209.717,54.658,82.536,45.538,66.668,191.458,161.233,88.938,171.871,80.561,162.889,154.884,126.142,51.972,91.469,46.409,77.295,115.593,134.564,162.478,82.84,140.63,70.927,221.292
2008,261.025,63.499,79.373,91.0286,127.94,64.95,72.045,236.962,86.324,68.5162,38.441,157.437,168.05,87.726,118.704,45.102,100.9038,42.621,152.9926,138.3108,173.697,36.766,62.9736,204.884,52.9816,81.503,44.683,65.601,188.563,155.921,87.849,166.899,78.969,159.496,153.554,123.2,51.308,89.612,45.4256,76.6468,114.08,131.704,161.056,80.951,139.4838,70.4692,218.204
2009,257.142,62.424,77.468,90.2022,124.306,64.072,67.947,234.196,83.838,67.8304,37.414,156.165,163.666,82.27,117.048,45.293,99.6516,41.564,151.3022,136.8596,169.093,35.17,62.2402,200.051,51.3052,80.47,43.829,64.534,185.668,150.609,86.761,161.927,77.377,156.102,152.224,120.258,50.643,87.756,44.4422,75.9986,112.567,128.843,159.633,79.062,138.3376,70.0114,215.115
